StartTime,Motion
41.791183711,104,679
41.891364157,122,680
41.991207128,134,680
42.091644134,130,661
42.189096102,114,670
42.290305532,120,653
42.395440904,103,665
42.505328037,99,651
42.587056875,108,660
42.688066164,117,662
42.791738494,112,655
42.891812471,101,701
42.992045048,79,636
43.092494199,72,621
43.194393575,70,709
43.298266604,80,721
43.395846849,62,691
43.517305569,73,704
43.597667108,90,671
43.692521058,92,785
43.792337874,78,720
43.892390639,67,675
43.992135427,64,685
44.09075443,48,694
44.192660075,88,714
44.290480689,100,761
44.390885509,83,680
44.491251772,80,672
44.588474101,95,633
44.68961859,102,652
44.794050339,84,628
44.894556341,65,666
44.989544269,58,658
45.089135877,34,673
45.186041416,32,622
45.28608211,32,629
45.388705016,19,677
45.493219127,43,774
45.595436594,25,765
45.708108822,110,754
45.823287466,37,428
45.898548843,103,713
45.983857581,73,680
46.085102785,72,707
46.184751966,99,777
46.284742763,71,653
46.389065184,75,650
46.489394087,99,729
46.597548211,51,574
46.690574559,71,787
